,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"d_prime[1, Easy Simple]",6.346,0.218,5.956,6.772,0.002,0.003,10102.0,5957.0,1.0
"d_prime[1, Easy Complex]",6.232,0.213,5.834,6.637,0.002,0.002,10234.0,5848.0,1.0
"d_prime[1, Hard Simple]",2.134,0.1,1.946,2.322,0.001,0.001,12576.0,6599.0,1.0
"d_prime[1, Hard Complex]",2.172,0.106,1.97,2.376,0.001,0.001,13070.0,6011.0,1.0
"d_prime[2, Easy Simple]",3.273,0.12,3.05,3.499,0.001,0.001,11803.0,6477.0,1.0
"d_prime[2, Easy Complex]",3.179,0.119,2.964,3.412,0.001,0.001,10659.0,6428.0,1.0
"d_prime[2, Hard Simple]",1.17,0.092,1.005,1.347,0.001,0.001,10957.0,7104.0,1.0
"d_prime[2, Hard Complex]",0.997,0.092,0.82,1.168,0.001,0.001,12400.0,6491.0,1.0
"d_prime[3, Easy Simple]",5.179,0.176,4.853,5.514,0.002,0.002,11626.0,5692.0,1.0
"d_prime[3, Easy Complex]",5.227,0.172,4.904,5.549,0.002,0.002,11690.0,6796.0,1.0
"d_prime[3, Hard Simple]",1.706,0.099,1.515,1.887,0.001,0.001,10329.0,6324.0,1.0
"d_prime[3, Hard Complex]",1.676,0.097,1.493,1.858,0.001,0.001,12244.0,6297.0,1.0
"d_prime[4, Easy Simple]",4.459,0.147,4.19,4.747,0.001,0.002,11169.0,6717.0,1.0
"d_prime[4, Easy Complex]",4.061,0.136,3.814,4.326,0.001,0.001,12249.0,6304.0,1.0
"d_prime[4, Hard Simple]",1.413,0.097,1.234,1.595,0.001,0.001,12319.0,6393.0,1.0
"d_prime[4, Hard Complex]",1.495,0.097,1.317,1.675,0.001,0.001,11823.0,6598.0,1.0
"d_prime[5, Easy Simple]",3.266,0.118,3.05,3.489,0.001,0.001,11598.0,6389.0,1.0
"d_prime[5, Easy Complex]",3.235,0.119,3.008,3.461,0.001,0.001,10792.0,6266.0,1.0
"d_prime[5, Hard Simple]",1.047,0.093,0.876,1.223,0.001,0.001,13246.0,6181.0,1.0
"d_prime[5, Hard Complex]",0.914,0.092,0.746,1.091,0.001,0.001,11894.0,6265.0,1.0
"d_prime[6, Easy Simple]",7.536,0.29,6.997,8.081,0.003,0.003,11003.0,6574.0,1.0
"d_prime[6, Easy Complex]",7.259,0.272,6.76,7.762,0.003,0.003,11405.0,6000.0,1.0
"d_prime[6, Hard Simple]",2.767,0.113,2.555,2.974,0.001,0.001,11923.0,6407.0,1.0
"d_prime[6, Hard Complex]",2.755,0.112,2.538,2.959,0.001,0.001,11477.0,6555.0,1.0
"d_prime[7, Easy Simple]",5.918,0.199,5.552,6.295,0.002,0.002,11500.0,6194.0,1.0
"d_prime[7, Easy Complex]",6.219,0.214,5.841,6.641,0.002,0.002,12679.0,6794.0,1.0
"d_prime[7, Hard Simple]",2.021,0.103,1.831,2.223,0.001,0.001,10962.0,6249.0,1.0
"d_prime[7, Hard Complex]",2.048,0.104,1.852,2.24,0.001,0.001,11718.0,6501.0,1.0
"d_prime[8, Easy Simple]",6.426,0.219,6.008,6.831,0.002,0.002,11495.0,6119.0,1.0
"d_prime[8, Easy Complex]",6.452,0.224,6.04,6.88,0.002,0.003,12285.0,6448.0,1.0
"d_prime[8, Hard Simple]",2.248,0.104,2.057,2.446,0.001,0.001,12269.0,6232.0,1.0
"d_prime[8, Hard Complex]",2.281,0.103,2.083,2.474,0.001,0.001,14585.0,6123.0,1.0
"d_prime[9, Easy Simple]",4.784,0.158,4.498,5.087,0.001,0.002,11581.0,6730.0,1.0
"d_prime[9, Easy Complex]",5.194,0.173,4.868,5.511,0.002,0.002,11655.0,6934.0,1.0
"d_prime[9, Hard Simple]",1.649,0.098,1.463,1.829,0.001,0.001,11744.0,6486.0,1.0
"d_prime[9, Hard Complex]",1.646,0.099,1.46,1.837,0.001,0.001,11118.0,6090.0,1.0
"d_prime[10, Easy Simple]",5.776,0.193,5.43,6.144,0.002,0.002,12103.0,6452.0,1.0
"d_prime[10, Easy Complex]",5.806,0.194,5.447,6.174,0.002,0.002,12553.0,6468.0,1.0
"d_prime[10, Hard Simple]",2.012,0.101,1.816,2.193,0.001,0.001,12093.0,6778.0,1.0
"d_prime[10, Hard Complex]",1.911,0.1,1.718,2.095,0.001,0.001,11672.0,5800.0,1.0
"criterion[1, Easy Simple]",3.167,0.153,2.878,3.454,0.001,0.002,11409.0,6044.0,1.0
"criterion[1, Easy Complex]",3.233,0.16,2.951,3.55,0.002,0.002,9845.0,6333.0,1.0
"criterion[1, Hard Simple]",1.072,0.071,0.931,1.198,0.001,0.001,12713.0,6112.0,1.0
"criterion[1, Hard Complex]",0.986,0.074,0.853,1.13,0.001,0.001,12949.0,5550.0,1.0
"criterion[2, Easy Simple]",1.682,0.086,1.522,1.845,0.001,0.001,12584.0,6127.0,1.0
